key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
24,"아주 작은 물고기. 커르다스 지방에서는 귀한 식재료로 여긴다. 낚은 자리에서 바로 요리해 먹는 사람도 있다.","","","",4937,35,0,2000,False,2,32,0,True,0
25,"빛이 없는 곳에서 살다 보니 눈이 퇴화했지만, 천적이 없기에 별 문제는 없다. 물 흐름이 달라지는 것을 감지해 먹이를 잡아먹는다.","","","",4938,31,0,2000,False,3,97,0,True,0
26,"껍데기가 너무 딱딱하고 살이 없어 식용으로는 적합하지 않다. 미끼를 가로채기도 해서 어부들이 싫어한다.","","","",4878,12,0,2000,False,0,44,0,True,0
27,"지느러미로 진흙을 기어 다니는 이상한 물고기. 툭 튀어나온 눈은 얕은 물웅덩이에서 적을 발견하기 위한 것이라고 한다.","","","",4939,13,0,2000,False,3,73,0,True,0
28,"털바늘 루어로 낚을 수 있는 물고기. 소금구이는 물론 튀김, 뫼니에르 등 다양한 요리로 만든다.","","","",4940,15,0,2000,False,2,18,0,True,0
29,"죽은 물고기나 해조류를 먹기 때문에 '강의 청소부'라고 불린다. 이 게가 사라지면 강이 탁해진다고 한다.","","","",4941,15,0,2000,False,2,8,0,True,0
30,"몸 표면에 화려한 무늬가 있는 물고기. 그 무늬가 오사드 대륙에 사는 야생 '호랑이'와 닮아서 호랑대구라 불린다.","","","",4879,15,0,2000,False,0,45,0,True,0
31,"호전적이고 영역 의식이 강해서 같은 종을 한 수조에 넣으면 어느 한쪽이 죽을 때까지 싸운다. 굳이 기른다면 한 마리씩.","","","",4942,16,0,2000,False,3,19,0,True,0
32,"판금 투구 같은 껍데기가 특징인 게. 얼핏 게와 비슷하지만 박물학자 아텔루네의 설에 의하면 거미전갈에 가깝다.","","","",4880,16,0,2000,False,0,64,0,True,0
33,"에오르제아에서 흔히 보이는 작은 농어. 서식지가 겹치는 어둑농어와 치열한 생존경쟁을 펼치고 있다.","","","",4943,17,0,2000,False,3,73,0,True,0
34,"껍데기가 동그랗게 말려있다. 떫은맛을 정성껏 빼면 먹을 수 있지만 조금만 잘못 조리해도 매우 비리고 맛없다.","","","",4944,17,0,2000,False,2,73,0,True,0
35,"로들리트 만에서 나는 것이 특히 좋다고 한다. 갓 딴 로들리트 굴에 태양 레몬즙을 뿌리기만 해도 대단히 맛있다.","","","",4881,17,0,2000,False,0,59,0,True,0
36,"느리고 둔하지만 먹잇감을 잡을 때는 놀랄 만큼 잽싸게 움직인다.","","","",4945,18,0,2000,False,2,11,0,True,0
37,"이름 그대로 라노시아 하천에서 자주 보이는 물고기. 작은 물고기를 잡아먹기 때문에 피라미 루어로 쉽게 낚을 수 있다.","","","",4946,18,0,2000,False,2,42,0,True,0
38,"커다란 물고기로부터 도망치기 위해 지느러미를 펼치고 날아오르는 물고기. 그 모습은 여신 리믈렌이 던진 단검에 비유된다.","","","",4882,18,0,2000,False,1,64,0,True,0
39,"옛 전쟁에서 농성전을 벌일 때 식량으로 삼기 위해 가까운 비취 호수에 풀어놓았다는 전설이 있다.","","","",4947,19,0,2000,False,3,3,0,True,0
40,"따뜻한 남쪽 바다에서 자라는 아리따운 물고기. 가끔 해류를 타고 흘러오기 때문에 에오르제아에서도 낚을 수 있다.","","","",4883,19,0,2000,False,1,37,0,True,0
41,"인위적으로 교배를 되풀이하면서 구릿빛을 띠게 된 관상어. 동방에서 들어온 것이 방류되며 널리 퍼졌다.","","","",4948,20,0,2000,False,3,67,0,True,0
42,"강에서 태어나 바다에서 자라고, 다시 강으로 돌아가 알을 낳은 뒤 죽는다. 그 때문에 생명의 순환을 상징하기도 한다.","","","",4949,20,0,2000,False,2,67,0,True,0
43,"깜짝 놀라면 숨어있던 구멍에서 튀어나온다. 이 습성을 아는 바닷새는 구멍에 돌멩이를 떨어뜨려 잡아먹는다.","","","",4884,20,0,2000,False,0,60,0,True,0
44,"진흙투성이가 되어 포식자의 눈을 속였기 때문에, 옛날에는 '진흙에서 태어나는 골렘의 일종'이라고 여겨졌다.","","","",4950,21,0,2000,False,2,13,0,True,0
45,"촉수를 출렁이며 춤추듯 헤엄친다. 이것이 구애 행동이라는 설과 노폐물을 제거하는 것이라는 설이 있으며, 지금도 논쟁이 이어지고 있다.","","","",4885,21,0,2000,False,1,46,0,True,0
46,"위에서 봤을 때 가장 아름답도록 품종을 개량한 관상어. 하지만 인공교배를 계속하지 않으면 색이 옅어진다.","","","",4951,21,0,2000,False,2,18,0,True,0
47,"피처럼 붉은 껍데기가 특징. 태양의 여신 아제마가 흘린 피에서 태어났다는 전설이 있을 정도다.","","","",4952,22,0,2000,False,2,11,0,True,0
48,"비취처럼 진한 녹색을 띠는 장어. 몸 색깔은 식성이나 서식지 수질에 따라 조금씩 달라지는 듯하다.","","","",4953,22,0,2000,False,2,66,0,True,0
49,"침묵독을 가진 위험한 물고기. 어느 가정에서 실수로 식탁에 올렸다가 가족 간의 대화가 끊어져서 집안이 풍비박산 났다.","","","",4886,22,0,2000,False,0,52,0,True,0
50,"불순물을 몸 안에 쌓아두기 때문에 비려서 식용으로 적합하지 않다. 하지만 이 조개 덕분에 서식지 수질이 유지된다.","","","",4954,23,0,2000,False,3,66,0,True,0
51,"털바늘 루어로 낚시를 즐기기에 딱 좋은 물고기. 단, 찬물에 주로 살기 때문에 낚시를 마치고 따뜻한 온천은 필수.","","","",4955,23,0,2000,False,2,66,0,True,0
52,"유리처럼 속이 훤히 비치기 때문에 물속에 있으면 알아차리기 어렵다. 얼마 전까지 존재조차 알려지지 않았던 물고기.","","","",4956,24,0,2000,False,2,42,0,True,0
53,"한때 '먹으면 시력이 좋아진다'는 소문이 퍼져서 크게 유행했지만, 엄청나게 맛이 없었기 때문에 곧 잊혔다.","","","",4957,24,0,2000,False,2,66,0,True,0
54,"칼날처럼 뾰족한 지느러미를 가진 물고기. 종종 그 날카로운 지느러미로 어망을 찢기도 한다.","","","",4887,24,0,2000,False,1,61,0,True,0
55,"장어 파이 재료로 많이 쓰는 물고기. 낮에는 구멍에 숨어서 꼼짝 않고 있다가, 밤이 되면 활발하게 먹이를 찾는다.","","","",4958,25,0,2000,False,2,11,0,True,0
56,"살아남은 생물이 거의 없다는 남방대륙에서 들여온 품종. 생명력이 무척 강해서 낯선 곳에서도 잘 번식한다.","","","",4959,25,0,2000,False,3,15,0,True,0
57,"시선을 사로잡을 만큼 푸른빛을 띤 산호. 그 빛깔은 바다의 이름을 따서 '로타노 블루'라 불리며 매우 사랑받는다.","","","",5461,25,0,2000,False,1,51,0,True,0
58,"듬직한 몸집 때문에 요마 '오거'의 이름이 붙은 대형어. 진짜 오거를 상대하는 것보다는 잡기 편하다고 한다.","","","",4888,25,0,2000,False,1,38,0,True,0
59,"방패 모양 껍데기 때문에 전설의 '이지스 방패'와 같은 이름이 붙었다. 박물학자는 고대종이라 추정한다.","","","",4960,26,0,2000,False,3,77,0,True,0
60,"독특하게 생긴 주둥이로 물에 뜬 나무나 바위에서 자라는 해조를 먹는 작은 물고기. 대부분 5일름(약 13cm) 정도로 자라난다.","","","",4961,26,0,2000,False,3,15,0,True,0
61,"빛을 내는 유인돌기로 작은 물고기를 유인해 잡아먹기 때문에 '어부고기'라고도 불린다. 어부에게는 행운의 상징이다.","","","",4889,26,0,2000,False,1,71,0,True,0
62,"해마와 해룡 중 어떤 이름을 붙일지를 두고 학자들이 서로 싸웠다. 하지만 그중에 실제로 말이나 용을 본 사람은 아무도 없었다.","","","",4890,26,0,2000,False,0,51,0,True,0
63,"가끔 나무 위에서 발견되기 때문에 '나무를 오르는 물고기'라는 이름이 붙었다. 하지만 실제로는 새가 잡아서 옮긴 것이다.","","","",4962,27,0,2000,False,3,16,0,True,0
64,"호수 바닥에 숨어 사는 거대어. 감각기관인 긴 수염으로 먹잇감이 일으키는 진동을 감지하고 눈앞의 먹이를 단번에 집어삼킨다.","","","",4963,27,0,2000,False,3,19,0,True,0
65,"독특한 연분홍빛 몸 색깔은 손가락새우를 주로 먹기 때문인 것 같다. 비아나크 섬에서 잡히는 것이 특히 맛있다.","","","",4891,27,0,2000,False,1,52,0,True,0
66,"번개기운을 뿜어 먹잇감을 기절시키고 잡아먹는 무시무시한 물고기. 멋모르고 가까이 갔다가 호되게 당하는 사람이 해마다 몇 명씩 나온다.","","","",4964,28,0,2000,False,3,15,0,True,0
67,"신발 밑창처럼 납작한 물고기. 구워서 돈버섯 양념을 뿌려 먹으면 아주 맛있다.","","","",4892,28,0,2000,False,0,53,0,True,0
68,"가시 돋친 빨판 주둥이로 먹잇감에 달라붙어 체액을 빨아먹는 물고기. 한때 울다하에서는 왕과 귀족들이 즐겨 먹기도 했다.","","","",4965,29,0,2000,False,2,83,0,True,0
69,"도마뱀 머리뼈를 투구처럼 뒤집어쓰고 영역다툼을 벌이는 신기한 물고기. 몸집이 클수록 커다란 머리뼈를 쓰기 때문에 유리한 모양이다.","","","",4966,29,0,2000,False,2,83,0,True,0
70,"망치처럼 생긴 머리로 잽싸게 먹잇감을 감지하는 상어. 무리를 지어 다니며, 많을 때는 백 마리 단위로 움직인다.","","","",4893,29,0,2000,False,1,61,0,True,0
71,"식재료로 유명한 물고기. 이 물고기는 해마다 강을 거슬러 올라가는데, 마물이나 짐승에게도 귀한 먹잇감이다.","","","",4967,28,0,2000,False,2,80,0,True,0
72,"북쪽 바다에 사는 바다늑대족은 얇게 잘라 먹기도 한다. 오독오독 씹는 맛이 일품이라는데……","","","",4894,30,0,2000,False,0,53,0,True,0
73,"바위 표면에 달라붙기 위한 입이 특징이다. 다양한 색과 무늬가 있는데, 그중에서도 얼룩무늬가 특히 아름답다.","","","",4968,30,0,2000,False,3,4,0,True,0
74,"왜 해조류에서 빛이 나는지 여러 가지 가설이 있으나 아직 수수께끼다. 이승을 떠도는 망령이 한 짓이라 여기기도 한다.","","","",5544,31,0,2000,False,3,32,0,True,0
75,"중요한 식재료이자, 대형 육식어를 낚는 미끼로도 쓰인다. 어부 길드에서 다루는 물고기 중 가장 많이 잡힌다.","","","",4895,31,0,2000,False,0,52,0,True,0
76,"가늘고 긴 몸통은 단단한 비늘로 빈틈없이 덮여있다. 숨을 쉬기 위해 가끔 물 밖으로 입을 내미는 것도 특징이다.","","","",4969,32,0,2000,False,3,85,0,True,0
77,"미코테족이 즐겨 먹는 맛 좋고 통통한 거대어. 동방에서는 낚은 것을 그 자리에서 해체하여 날로 먹는 문화가 있다.","","","",4896,32,0,2000,False,1,52,0,True,0
78,"신의 손아귀에서 발견된 물고기. 독성에 잘 견디기 때문에 수질 측정할 때 도움이 된다.","","","",4970,32,0,2000,False,3,50,0,True,0
79,"뼈만 남은 시체에 착 달라붙은 소름 끼치는 모습 때문에 불길함을 담아 '요마의 앞잡이'라 부르기도 한다.","","","",4971,33,0,2000,False,3,78,0,True,0
80,"징검뿌리 늪지대에서만 볼 수 있는 고유종. 지느러미를 활용해서 이리저리 뛰어다닌다.","","","",4972,33,0,2000,False,3,16,0,True,0
81,"해마 명명 시에 해룡 이름을 붙이지 못했던 학자들이 필사적으로 비슷한 종을 찾아서 드디어 해룡이라는 이름을 붙였다.","","","",4897,33,0,2000,False,0,45,0,True,0
82,"작은 물고기나 곤충을 통째로 삼키기 위한 뾰족한 아래턱이 특징. 먼 옛날부터 모습을 그대로 유지하는 고대어의 일종이다.","","","",4973,34,0,2000,False,3,15,0,True,0
83,"깊은 밤 수면 근처를 무리지어 헤엄치기 때문에 달빛을 받아 유백색으로 빛난다. 달의 신 메느피나의 축복을 받았다고 한다.","","","",4898,34,0,2000,False,0,52,0,True,0
84,"가는 잔털이 자란 집게발이 마치 벙어리장갑을 낀 것처럼 보여서 이런 이름으로 불리게 되었다.","","","",4974,34,0,2000,False,2,54,0,True,0
85,"살이 쫄깃해서 푹 삶아도 물러지지 않기 때문에 찜 요리에 자주 쓰인다. 북해에서 이름난 임금이 즐겨 먹는 것으로도 유명하다.","","","",4899,34,0,2000,False,1,74,0,True,0
86,"아마도 아주 먼 옛날, 남쪽 바다에서 건너온 라라펠족 '몬케 온케'가 우호의 표시로 뿔의 아이에게 바쳤다는 관상어의 후손.","","","",4975,33,0,2000,False,2,4,0,True,0
87,"바다에 내려오지 않고 하천이나 호수에서 지내는 민물고기. 조심성이 많아서 낚으려면 기술이 필요하다.","","","",4976,35,0,2000,False,2,26,0,True,0
88,"식용으로 적합하진 않지만, 안에서 가끔 백진주가 나오기 때문에 귀하게 여겨지는 조개. 진주를 얻기 위해 대량으로 양식하는 방법을 찾고 있다.","","","",4900,35,0,2000,False,0,53,0,True,0
89,"아주 고운 모래알갱이로 이루어진 사막 '모래바다'에 서식하는 모랫고기. 먹이사슬의 최하위층에 놓여 있다.","","","",4977,35,0,2000,False,4,86,0,True,0
90,"동방에서 인위적으로 만들어낸 관상어. 반짝이는 은빛은 양식기술자들이 3대에 걸쳐 만든 것이라고 한다.","","","",4978,36,0,2000,False,3,57,0,True,0
91,"또렷한 줄무늬가 어릿광대 의상과 닮아서 '광대'라는 이름이 붙었다. 아주 귀한 관상어.","","","",4979,36,0,2000,False,3,85,0,True,0
92,"지느러미를 살살 흔들어서 모래를 물처럼 만들어 헤엄치는 모랫고기. 도미와 닮았지만 사실은 근연종이 아니다.","","","",5032,36,0,2000,False,4,86,0,True,0
93,"고래나 상어 몸에 달라붙어서 기생하는 물고기. 시간을 멈춘 듯 가만히 달라붙은 모습이 시간의 신 알디크가 좋아하는 꽃과 닮았다는 전설이 있다.","","","",4901,36,0,2000,False,1,52,0,True,0
94,"비늘이 너무 단단해서 대형어도 좀처럼 노리지 않는다. 천적이 적기 때문에 장수해서 아주 크게 자란다.","","","",4980,37,0,2000,False,3,16,0,True,0
95,"민물고기 중에는 큰 편에 속하는 물고기. 식탐이 많기로도 유명해서 미끼가 클수록 잘 먹는다.","","","",4981,37,0,2000,False,3,68,0,True,0
96,"모랫고기나 곤충, 때로는 마물까지 잡아먹는 대형 물고기. 살이 통통해 맛있을 것 같지만 모래 빼기가 매우 까다롭다.","","","",5033,37,0,2000,False,4,87,0,True,0
97,"화가 나면 가시가 돋은 몸을 풍선처럼 부풀려서 위협적인 모습이 된다. '바다의 봄'이라는 별명으로도 유명하다.","","","",4902,37,0,2000,False,0,53,0,True,0
98,"잡식성 물고기라 루어로도 쉽게 낚을 수 있다. 그리다니아에서는 생선구이 하면 바로 떠오르는 친숙한 물고기.","","","",4982,38,0,2000,False,2,12,0,True,0
99,"강어귀처럼 민물에서 바닷물로 이어지는 구역에서 볼 수 있는 물고기. 온몸에 난 귀여운 얼룩무늬 덕분에 관상어로서도 인기가 높지만 기르기 어렵다.","","","",4983,38,0,2000,False,2,54,0,True,0
100,"마치 요술을 부리는 것처럼 모래 속으로 재빨리 사라져서, 동방의 암살 기술 '은신'이라는 이름이 붙었다.","","","",5034,38,0,2000,False,4,86,0,True,0
101,"미꾸라지치고는 드물게 몸 색깔이 굉장히 옅으며 빛을 비추기에 따라 금색으로 보인다. 돌연변이가 번식한 듯하다.","","","",4984,39,0,2000,False,3,31,0,True,0
102,"사골리 사막에 불어오는 모래폭풍을 타고 이리저리 날아다니는 모랫고기. 오아시스 주민은 무모한 사람을 이 물고기에 비유한다.","","","",5035,39,0,2000,False,4,87,0,True,0
103,"황금색으로 빛나기 때문에 상업의 신 '날달'을 연상시킨다. 야행성인 것은 조금이라도 포식자의 눈을 피하기 위해.","","","",4985,39,0,2000,False,2,80,0,True,0
104,"지역 주민들 사이에서는 털바늘 루어로 낚을 수 있다고 알려진 물고기. 피처럼 붉은 몸 색깔 때문에 옛날에는 '흡혈어' 취급을 받았다.","","","",4986,40,0,2000,False,2,26,0,True,0
105,"납작한 몸에 선명한 무늬가 있어서 아름다운 물고기. 교역선에 실려 남해 제도에서 들어왔다는 설이 있다.","","","",4987,40,0,2000,False,2,55,0,True,0
106,"작가 다윈 경이 쓴 여행기 '지하도시 견문록'에 따르면 지하 세계에서 온 사절이라고 한다. 물론 믿는 사람은 별로 없다.","","","",5036,40,0,2000,False,4,86,0,True,0
107,"피처럼 붉은 산호는 생명력을 상징한다. 덕분에 라노시아에서는 출산 축하 선물로 인기가 많다.","","","",5462,40,0,2000,False,0,62,0,True,0
108,"청동호수에 사는 고유종. 이 물고기를 잡아먹으려던 새가 떨어뜨린 것인지, 주변 하천에서도 간혹 발견된다.","","","",4988,41,0,2000,False,3,68,0,True,0
109,"아말쟈족은 붉은 껍데기를 가진 이 우렁이가 '화염신 이프리트의 발톱에서 태어났다'고 믿어서 신성한 음식으로 여긴다.","","","",4989,41,0,2000,False,3,94,0,True,0
110,"모래언덕 꼭대기까지 올라간 다음 하늘을 날아다니다가, 먹잇감을 찾으면 그 위에 내려앉아 온몸을 뒤덮고 그대로 잡아먹는다.","","","",5037,41,0,2000,False,4,87,0,True,0
111,"평소에는 조금 큼직한 물고기를 주로 노리지만, 가끔 사람을 덮칠 때도 있다. 서식지에서 함부로 헤엄치면 매우 위험하다.","","","",4903,41,0,2000,False,1,62,0,True,0
112,"울다하 선왕 사사발의 즉위식에서 어느 상인이 관상어로 바친 뒤로 '왕실'이라는 이름이 붙었다.","","","",4990,42,0,2000,False,3,82,0,True,0
113,"검은장막 숲에 사는 달의 수호자족은 번개무늬를 가진 이 물고기를 강인함의 상징으로 여겨 귀하게 다루었다.","","","",4991,42,0,2000,False,2,99,0,True,0
114,"용이 자신의 피로 졸개를 만들 때, 피 한 방울이 강에 떨어져서 이 물고기가 되었다는 전설이 있다. 하늘을 나는 용처럼 폭포를 거슬러 오른다.","","","",4992,43,0,2000,False,2,7,0,True,0
115,"금속처럼 빛나는 비늘을 가졌으며, 생김새가 칼날을 닮아서 이러한 이름이 붙었다. 하지만 칼로 썰기는 몹시 힘들다.","","","",4993,43,0,2000,False,2,25,0,True,0
116,"날카로운 이빨을 자랑하며 갑각류를 즐겨 먹는 대형어. 맛은 없지만 먹으면 힘이 솟는다고 하여 약재로 쓰인다.","","","",4904,43,0,2000,False,1,65,0,True,0
117,"비가 내리면 활발하게 움직이기 시작해서 낚기 쉽다. 그래서 숲 사람들은 비를 부르는 물고기라고 생각한다.","","","",4905,43,0,2000,False,2,81,0,True,0
118,"두껍고 건장한 몸이 오래된 떡갈나무 뿌리 같다고 하여 이렇게 부른다. 살이 통통해 식용으로 좋을 것 같지만 무르고 싱거워서 맛이 없다.","","","",4994,44,0,2000,False,2,20,0,True,0
119,"시냇물이 흐르는 곳을 중심으로 에오르제아 각지에서 볼 수 있다. 주로 돌 밑에 숨어서 벌레나 작은 물고기를 잡아먹는다.","","","",4995,44,0,2000,False,2,66,0,True,0
120,"드물게 흑진주를 품고 있기도 하다. 흰나비조개보다 개체 수가 적기 때문에, 이 흑진주는 최고급 명품으로 여겨진다.","","","",5466,44,0,2000,False,0,65,0,True,0
121,"물고기와 조개, 두꺼비를 비롯하여 쥐나 작은 새까지 잡아먹는 사나운 물고기. 북방꼬치어의 근연종.","","","",4996,45,0,2000,False,2,17,0,True,0
122,"서식지가 다른 남방꼬치어의 근연종. 꼬리지느러미 색이 붉으면 북방, 푸르면 남방이라 한눈에 구별할 수 있다.","","","",4997,45,0,2000,False,2,32,0,True,0
123,"이름의 유래에는 '코볼드족처럼 몸집이 작아서'라는 설과 '코볼드족이 연금술로 색을 입혀서'라는 설이 있다.","","","",4998,45,0,2000,False,2,54,0,True,0
124,"먼 옛날부터 해적들이 신성하게 여긴 조개. 단단한 껍데기를 술잔으로 만들어 승리 축하 잔치에 쓰는 풍습이 있다.","","","",4906,45,0,2000,False,0,101,0,True,0
125,"벌레를 좋아해서 털바늘 루어에 잘 걸린다. 참고로 림사 로민사에서는 총을 잘 쏘는 사람을 '사수어' 같다고 일컫는다.","","","",4999,45,0,2000,False,3,56,0,True,0
126,"달해파리 같은 부유 해파리의 친척뻘이다. 몸이 대부분 공기주머니로 되어 있어서, 그 안에 공중에 뜨는 기체를 담아 날아다닌다.","","","",5038,45,0,2000,False,5,34,0,True,0
127,"고블린족이 한창 순례 여행을 하다가 손에 넣은 뒤 에오르제아로 가지고 돌아왔다는 물고기. 고블린족이 즐겨 먹는다.","","","",5000,46,0,2000,False,2,15,0,True,0
128,"특정 지역에서만 사는 귀한 물고기. 이 물고기가 물 위로 뛰어오르는 모습을 보면 사흘 동안 행운이 좋다는 말이 있다.","","","",5001,46,0,2000,False,2,55,0,True,0
129,"예전에는 못 먹는 물고기라고 여겨서 낚아도 버리거나 비료로 썼지만, 최근 들어 다양한 요리법이 개발됐다.","","","",4907,46,0,2000,False,1,62,0,True,0
130,"영역 의식이 강해서 마치 암살자처럼 다른 물고기를 제거한다. 이 습성 때문에 생미끼 낚시에 잘 걸린다.","","","",5002,47,0,2000,False,3,22,0,True,0
131,"독에 강해 수질이 나쁜 곳에서도 잘 산다. 하지만 몸 안에 독소가 쌓여 있어 먹지 않는 게 좋다.","","","",5003,44,0,2000,False,3,24,0,True,0
132,"옛날부터 기록으로는 남아 있었지만, 표본이 없어 실존 여부는 확실치 않았다. '하늘을 나는 지팡이'라고도 불린다.","","","",5039,47,0,2000,False,5,34,0,True,0
133,"다 자라면 이마가 갑자기 툭 튀어나온다. 같은 종끼리 만나면 이마를 서로 들이받아서 우열을 정한다고 한다.","","","",4908,47,0,2000,False,1,65,0,True,0
134,"상승 기류를 타고 하늘로 올라갔다가 쏜살같이 내려오며 날벌레를 덮친다. 그 속도가 무척 빨라서 비공정 공기주머니에 구멍을 뚫기도 한다.","","","",5040,48,0,2000,False,5,34,0,True,0
135,"번개기운을 내뿜는 물고기 중에서도 특히 마력이 강하다. 그 위력은 강력한 번개 마법 '선더라'와 견줄 수 있을 정도다.","","","",5004,48,0,2000,False,3,24,0,True,0
136,"힘이 굉장히 세서 낚으려면 상당한 솜씨가 필요하다. 박물학자 중에는 고대어의 일종이라고 주장하는 사람도 있다.","","","",5005,48,0,2000,False,3,89,0,True,0
137,"쥐가오리와 닮은 납작한 몸 전체가 대기 중에 있는 바람속성 에테르를 받아들이는 '에테르 날개'로 기능하고 있다.","","","",5041,48,0,2000,False,5,34,0,True,0
138,"비교적 수심이 얕은 앞바다에 서식하며 바닥에 달라붙어 꼼짝 않고 가만히 지낸다. 이것은 조용히 먹잇감을 기다리려는 습성 때문이다.","","","",4909,48,0,2000,False,0,65,0,True,0
139,"북주 일사바드 대륙에서 들어온 품종. 그 섬뜩한 붉은 눈과 마주치면 불행이 찾아온다는 소문이 있다.","","","",5006,48,0,2000,False,3,24,0,True,0
140,"아말쟈족이 즐겨 먹는 물고기. 그들이 파글단 지방에서 들여와 다날란에 풀어놓았다고 한다.","","","",5007,49,0,2000,False,2,84,0,True,0
141,"산란 장소를 두고 치열하게 경쟁한다는 물고기. 격투사처럼 몸을 서로 부딪쳐서 싸운다고 한다.","","","",5008,49,0,2000,False,2,25,0,True,0
142,"바람속성 에테르를 머금기 위한 얇은 막이 배의 돛처럼 보인다. 그 아름다운 모습을 보면 행운이 찾아온다고 한다.","","","",5042,49,0,2000,False,5,34,0,True,0
