key,0,1,2
11,7,False,"마도 리퍼 잔해다.
조종석 계기판을 보니 아직 연료가 남아 있다.
청린수 탱크만 떼어내서 옮길 수 있을 것 같다."
12,7,False,"다리가 불량인 마도 리퍼다.
이전 전투에서 파손되어 이제 사용할 수 없을 듯하다……."
13,7,False,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다……."
14,7,False,"마도 리퍼 잔해다.
조종석 계기판을 보니 연료는 아직 남아 있지만,
손상이 심해 사용할 수 없을 듯하다……."
15,7,False,"이미 숨이 끊어졌다.
자신의 몸이었더라면 구할 수 있었을지도 모른다……."
16,7,False,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다……."
17,7,False,"신병으로 보이는 젊은 제국 병사다. 이미 숨이 끊어졌다.


품속에서 '군용 물약'을 발견했다.
고맙게 사용해야겠다."
18,7,False,"매료된 제국 병사가 '군용 물약'을 가지고 있었다!


이 퀘스트 전투에서는 평소와 같은 전투 능력을 발휘할 수 없습니다.
그러므로 되도록 적을 피해 깨진 유리 전초지로 가야 합니다.
한번 발견되어 전투 상태에 돌입하면, 매료된 제국 병사와 마도 병기가 집요하게 쫓아옵니다.
특히 마도 병기는 맨몸으로 싸우면 위험합니다.
HP는 임무용 기술 '군용 물약'을 사용하면 회복할 수 있습니다.
사용 횟수가 제한되어 있지만, 적 병사 시체나 잔해 등에서 추가로 획득할 수 있으니 적극적으로 찾아 보세요."
19,7,False,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….

조종석에서 '제국식 강장제'를 발견했다!"
20,7,False,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….

조종석에서 '군용 물약'을 발견했다!"
21,7,False,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….

조종석에서 '군용 물약'을 발견했다!"
22,7,False,"마도 리퍼 잔해다.
심하게 손상되어 사용할 수 없을 듯하다…….

조종석에서 '군용 물약'을 발견했다!"
23,7,False,"이미 숨이 끊어졌다."
24,7,False,"등뒤에서 습격받아 숨이 끊어진 듯하다.


품속에서 '군용 물약'을 발견했다. 고맙게 사용해야겠다."
25,7,False,"이미 숨이 끊어졌다."
26,7,False,"너덜너덜한 작은 포대다.


포대 속에서 '군용 물약'을 발견했다!"
27,7,False,"너덜너덜한 작은 포대다.


포대 속에서 '제국식 회복제'를 발견했다!"
28,7,False,"다리가 불량인 마도 리퍼다.
연료는 충분하지만 인증 열쇠가 없어서 기동할 수 없다.

탑승했던 사람이 근처에 숨어 있을지 모르니 찾아보자."
29,7,False,"수면이 작게 흔들리며 작은 기포가 나오고 있다…….
나뭇잎 뒤에 어린 머윗잎 요정이 북적거리는 모습을 상상했다."
30,7,False,"나뭇잎 표면에 밟힌 자국이 있다.
누군가가 물을 채취할 때 생긴 걸까……?"
31,7,False,"물밑에 식물이 기생했던 동물 사체가 보인다.
먹이를 찾다가 길을 잃은 걸까……?"
32,7,False,"작게 탄 자국이 있는 물풀이 보인다.
현자의 공격 술식과 비슷한 흔적이다……."
33,7,False,"공용어로 쓰인 문장이 새겨져 있다…….


""창세의 때, 용맹한 화염신, 용맹한 우리에게 불꽃을 주시니
 성화수수, 선조에게서 이어진 우리의 불꽃, 그 이름을 말하라"""
34,7,False,"갈겨쓴 쪽지가 떨어져 있다.
도굴꾼이 쓴 쪽지일까……?

귀한 녹색 돌
공작석 방   녹색과 황색 자루
잔해 위   구석 흙바닥"
35,7,False,"마물 사체다.
날카로운 발톱으로 할퀸 듯한 상처가 있다……."
36,7,False,"빳빳한 깃털이 흩어져 있다.
이 주변에서 날뛰었던 걸까……?"
37,7,False,"동물의 분변이 떨어져 있다.
그리 오래된 것 같지는 않다……."
38,7,False,"단말 화면에 이름으로 보이는 거대한 문자열이 나열되어 있다.
아무래도 최근에 '기억을 구름 위에 맡긴' 사람들의 명단인 듯하다.

여기에 나미카의 이름도 적혀 있을까……."
39,4,True,"영혼 자원 처리는 공정 설명서를 준수하고 있다.
우리는 신생 알렉산드리아 연왕국에서 가장 중요한 자원을 담당한다.
파손 및 유실은 중대한 죄임을 명심해라.
제1공정: 영혼 추출
레귤레이터에 보존된 '영혼'과 '기억'의 혼합 에테르를
추출한 뒤 포드 안에서 안정시킨다.
혼합 에테르 추출 처리를 서두를수록
파손율이 상승하므로, 긴급 시를 제외하고 변경하지 말 것."
40,4,True,"특별 감시 대상 영혼,
레귤레이터 ID161127, 개체명 '나미카'.
생명 활동 정지 시, 육체 연령 86세…….
국민 기억 소거, 정상 처리 완료.
잔존 육체 처리, 정상 처리 완료.
혼합 에테르 추출, 정상 처리 완료."
41,4,True,"제2공정: 기억 및 영혼 분리
분리 도구를 이용해 혼합 에테르를 '기억'과 '영혼'으로 분리,
각각 제3공정으로 보낸다.
'영혼'은 최종 처리 과정을 위해 상층으로.
'기억'은 비밀 경로를 통해 메인 터미널로.

또한, 마물의 '기억'은 보존할 필요 없음.
특수 용도를 제외하고 모두 폐기한다."
42,4,True,"제3공정: 표백
분리한 '영혼'에 부착된 기억 잔재를 완전히 표백한다.
표백광은 생체에 유해하므로, 신중하게 작업해야 한다.
또한 기억 잔재가 부착된 영혼 자원이 투여된 자는
기억 혼탁이나 인격 붕괴로 이어질 위험이 있다.
고정밀 감지장치로 잔재 유무를 확인할 것.
위 공정을 거쳐 영혼 자원은 사회로 환원된다.
제군들의 노동이 오늘도 국가의 풍요에 기여하고 있음을 기억하고,
성실하게 업무를 수행하라."
43,4,True,"실험 기록 216…… 개체명 '앰브로즈'.
본 실험은 영혼이 없는 육체에 시험형 동결 레귤레이터를 부착해
여러 마물과 사람의 영혼 자원을 동시에 투입했다.
현재 실험체는 생체처럼 활동하고 있으나
인격은 파탄 난 상태이며, 파괴 활동에 사로잡혀있는 것으로 보인다.
이 부분은 마물의 영혼이 우선으로 작용하고 있을 가능성이 있다.
그만큼 매우 강력한 전투력을 갖고 있으나,
한편으로는 제어가 어려워 신뢰성은 낮다고 할 수 있다.
이후의 실험은 '충실한 인격'을 고정하는데 초점을 맞춰야 할 것이다."
44,7,False,"매끄러운 원형 석판에 빛나는 문자와 도형이 떠올라 있다.
그러나 처음 보는 글자체로 에오르제아 문자와는
숫자조차 일치하지 않는 듯하다.
문자 배열에서 질서 정연한 법칙성이 보이는 것으로 보아,
인공적으로 만들어 낸 언어로 추정된다.
중요한 지식을 숨기기 위한 조치인 것일까."
45,4,False,"정밀한 무늬가 새겨진 석판이 놓여 있다.
하지만 기록된 내용을 읽으려 시선을 맞추면
속이 메스꺼워진다.
아마 의도가 불순한 자가 지식을 얻지 못하도록
보호하고자 마법적 처치를 해 둔 것으로 보인다.
오늘은 더 이상 보지 않는 편이 좋을 듯하다."
46,4,False,"책장이 쓰러져 대량의 서적이 흩어져 있다.
모든 책이 미지의 언어로 기록되어 있어
내용은 판독할 수 없다.
마법 문양으로 보이는 도형이 많이 그려져 있으니
마도서 종류일지도 모르겠다."
47,4,True,"길을 가다 보면 '의아한 일'과 맞닥뜨리게 되는데,
갤리조와 줄레 형제의 싸움이 그 전형적인 예야.

말이 좋아 낚시 대결이지, 그 녀석들이 있는 곳에는
매일같이 붕어를 든 모험가가 찾아오거든.
자기가 아니라 남이 낚아 오는 거지.
그럼 애초에 낚시 대결이 아니지 않나?
모험가도 왜 그렇게 매일 도와주는지 몰라……
별 대단한 보상을 주지도 않을 텐데, 거참 이상하네."
48,4,True,"옛날에 이 근처에 이상한 거대 생물이 나타난 적이 있다고 해.
근데 나중에 그 일을 기록한 보고서를 봤더니
정말 기묘하더라고…….
모험가가 떼로 몰려들어서 거대 생물을 순식간에 토벌했다느니,
애초에 그런 생물은 보이지도 않았다느니,
저마다 증언이 다르지 뭐야.
그래도 어느 보고서를 읽든 간에
즐거운 분위기였겠다는 건 느껴져.
아마 무슨 축제가 아니었을까?"
49,4,True,"에휴, 오늘도 꽝이네.
인장 모으기도 보통 일이 아닌데…….

아니지, 불평하지 말자.
그래도 지금까지 딴 게 어디야.
돌아가는 길에 동료랑 온천에서 기분 전환이나 해야겠다."
50,4,True,"오늘은 지렁이, 내일은 게,
그리고 모레는 아마도 포동포동한 그 녀석을 사냥할 것 같다.

근데 그 녀석은 진한 키스에다 힘이 빠지는 안개까지 쓰니……
진짜 싫단 말이지.

으음, 차라리 그냥
롤란베리 경작지에나 가 볼까?

사냥터에 따라 벌이가 달라지니까 신중히 생각해야겠지만…….
뭐, 대장을 맡았으니 이런 낙은 있어야지."
51,4,True,"아주 먼 옛날, 하늘까지 번영한 위대한 문명이 있었습니다.
하지만 그 문명의 지도자는 영원한 낙원을 꿈꾸며
금기를 범하려고 했습니다.
그 결과, 문명은 멸망을 맞이했고
지도자들도 영원히 잠들게 되었습니다.

그러나 잊어서는 안 됩니다.
그자들이 불멸의 망령이라는 사실을…….
그들은 지금도 꿈을 포기하지 않았습니다."
52,4,True,"우리 프레저베이션의 존재 의의란 무엇인가?
바로 '사람들의 생존에 기여하는 것'이다.

번개속성에 치우친 세계에서
사람들이 안전하게 살아갈 수 있는 곳을 만듦과 동시에
사람들을 좀먹는 마비 증상의 치료법을 확립하는 것…….
이 난제에 대해 실로 많은 방법이 제시되었으나,
드디어 모든 것을 완전히 해결할 방법이 발견되었다.
그것도 소년이라 해도 무방한 어린 천재에 의해."
53,4,True,"우리의 지도자 칼릭스에 따르면
생물을 생명으로 존재하게 하는 것은 육체가 아닌 영혼이라고 한다.
또한 영혼에 새겨진 기억이야말로 '인간의 본질'이라고 주장한다.
그는 이 사상을 근간으로
'일렉트로프로 영혼을 관리한다'는 방법론을 제시했다.
영혼이 에테르로 구성된 이상 반드시 보존할 수 있다는 것이다.
실제로 중범죄자와 지원자를 대상으로 한 실험에서
인간이 사망할 때 방사되는 에테르를 확보하는 데 성공했다.
인류는 위대한 한 걸음을 내디딘 것이다."
54,4,True,"일렉트로프제 특수 장치에 저장해 둔 영혼을
기계병에게 주입해 인간으로서 움직이게 하는 실험에 성공했다.
이제 더는 육체가 번개속성에 좀먹힐까 두려워할 필요가 없다.
그러나 우리의 지도자 칼릭스는 그 위업에도 만족하지 않았다.
영혼과 기억을 분리하여 영혼을 자원으로써 활용함과 동시에
기억에 영원한 생명을 부여한 것이다.
기억이라면 백업도 가능하고, 영혼에도 얽매이지 않는다.
선천적인 병으로 여생이 얼마 남지 않은 그였기에
순수한 정보 생명체인 '영원인'으로 진화하는 길을 찾아낸 것이다."
55,4,True,"바라건대, 이 편지가 마음씨 고운 자의 손에 닿아
용감한 무인에게 우리 마을에 닥친 위기를 알려주기를.
마침내 파멸을 부르는 괴어 단단이 나타났다.
이 괴어는 파도를 일으켜 집을 무너뜨리고
꼬리지느러미를 휘둘러 배를 가라앉혀, 마을은 고립되고 말았다.
얼마 안 되는 비축분이 바닥나면 우리의 삶은 끝날 것이다.
저 아름다운 바다의 소녀들과 손을 맞잡는다면, 어쩌면…….
그러나 이미 우리는 약속의 땅에 가는 것조차 불가능하다……."
56,4,True,"마을에서 노인을 붙잡고 추궁해 봤는데, 두목의 예상이 맞았습니다.
이 계곡 깊은 곳에는 극소수의 사람만 아는
'비밀 장소'가 있다고 하더군요.
분명히 깜짝 놀랄 만한 보물이 숨겨져 있겠군!
그런 기대를 품고 조사하러 가 봤는데,
괴조가 둥지를 틀고 있지 뭡니까…….
돌격할 때를 대비해 무기와 폭탄을 잔뜩 준비해 놨습죠.
두목이 호령하면 언제든 출발할 수 있도록 근처에서 대기하겠습니다!"
57,4,True,"이 땅에 온 후로 세월이 얼마나 흘렀을까.
강검 기술을 갈고닦기 위해, 자기장이 흐트러진 이 계곡에서
그저 묵묵히 검날에 에테르를 담아 휘두른다.
하지만 내 마음속에는
그 바다를 떠날 수 없는 벗에 대한 생각만이 가득하다…….
그녀들을 위협하는 존재를 쓰러뜨리기 위해 검술을 연마해야 한다!
원하는 경지에 다다랐다는 확신을 얻는다면
나는 당장에라도 고향으로 돌아갈 것이다.
그리고 그 바닷가에서 부르리라, ""사랑하는 벗이여""라고……."
58,4,True,"콧대는 유탕가 화산보다도 높고,
성질은 구스타베르그 산맥보다도 거칠다.
지금은 이름을 입에 담기도 두려운 그녀의 평판은 그러했다.
나는 '주간 마법 낙원'의 기자로서
그녀의 인터뷰를 맡게 되었으나……
무서워서 매일 먼발치에서 기회만 엿보고 있었다.
아아, 그런데 설마 그 때문에 그런 저주를 받게 될 줄이야!
암흑 속에서 빙빙 도는 붉은 눈알……
으그극, 이제 두 번 다시 엮이고 싶지 않다……."
59,4,True,"살라힘 센티널의 사훈! 제1조 ""못 한다는 말은 하지 말 것"".
살라힘 센티널의 사훈! 제2조 ""자나 깨나 사장님 공경"".
살라힘 센티널의 사훈! 제3조 ""회사의 톱니바퀴 왕이 되어라"".
살라힘 센티널의 사훈! 제4조 ""우는 아이 철퇴 준다"".
살라힘 센티널의 사훈! 제5조 ""실패는 감봉의 어머니"".



……<Gui(54)/>살려줘!!<Gui(55)/>"
60,4,True,"다섯 사장군이란 아토르간 황국군의 장교들을 뜻해.
국방의 전권을 담당하는 천사장군 루가진 님을 필두로,
토, 풍, 염, 수 장군님들이 도시를 지켜 주시지.
토사장군 자자그 님은 역전의 용사, 신념의 철권을 휘두르는 형님.
풍사장군 나젤리스 님은 궁술의 천재, 용기가 깃든 자비로운 분.
염사장군 가달라르 님은 좀…… 아니, 뜨거운 성격의 정의로운 사람.
그리고 수사장군 밀리 님은 공격과 수비의 달인, 가련한 전쟁터의 별.
그런 장군님들을 지지하며 따르는 자들이 있지…….
우리는 힘을 합쳐 야만족 놈들의 침공을 최전선에서 막아 내 왔어."
61,4,True,"별 전력도 되지 못한 채, 거의 알몸으로 유적을 돌아다니는 나날……
아, 나한테 제한 해제 아이템만 있었다면…….

그랬었는데 배급 덕분에 이렇게 편해질 줄이야.
몽크에게만 의지하지 않아도 되는, 유적 탐험의 새 시대다……
임무, 임무, 그리고 임무를 위해 알렉산드라이트를 왕창 벌어 주겠어!"
62,4,True,"전설은 이렇게 시작한다.
모든 것의 시작은 '돌'이었다고.

옛날 옛적에 커다랗고 아름다운 살아 있는 돌이
일곱 색깔 빛으로 어둠을 걷어 내고,
온 세계를 생명으로 채워서 위대한 신들을 낳았다.
빛에 감싸인 행복한 시대가 이어졌고,
이윽고 신들은 잠에 들었다…….
그 세계의 이름은 바나딜이다."
63,0,False,""
64,0,False,""
65,0,False,""
66,0,False,""
67,0,False,""
