#,Description,Unknown1,Unknown2,PreviewIcon,Transformation,Unknown5,Expansion
48,제국 군단장을 역임했으며 집념 강한 갈레안 남성,6,69568,73848,476,132,3
49,칠흑이 어울리는 휴런 남성,99,69190,73849,477,132,3
50,철학자 의회의 유력 의원인 엘레젠 남성,0,70000,73850,464,132,4
51,복지 단체의 주재자이자 마음씨 착한 엘레젠 여성,1,70000,73851,469,132,4
52,폐허로 변해버린 조국에서 부흥에 힘을 쏟는 갈레안 남성,2,70000,73852,470,132,4
53,원하는 물건을 찾아 전 세계를 돌아다니는 비에라 남성,3,70000,73853,471,132,4
54,동방의 명품 수집이 취미인 휴런 남성,7,70269,73854,509,142,4
55,과거 대마도사의 영혼이 몸에 빙의된 미코테 여성,8,70199,73855,510,142,4
56,"보이드로 사라진 누이와 재회한, 칠대천룡의 전투용 현신",4,70286,73856,538,152,4
57,부끄럼쟁이지만 계산력이 뛰어나고 대담무쌍한 신사의 복제,9,70336,73857,539,152,4
58,효월이 어울리는 휴런 남성,99,70000,73858,472,132,4
59,황금향에 이르러 무왕이 된 로스가르 여성,0,70495,73859,570,164,5
60,여동생을 돕는 이왕이 된 미코테 남성,1,70495,73860,571,164,5
61,황금이 어울리는 휴런 남성,99,70495,73861,572,164,5
62,"붓으로 싸우는, 자신의 출생에 대해 알게 된 라라펠 여성",2,70495,73862,573,164,5
63,열두 신의 마음을 가슴에 품고 여행을 계속하는 휴런 남성,6,70328,73863,574,164,4
64,"어둠으로 뒤덮인 세계에서 온, 낫을 든 반요 여성",5,70286,73864,575,164,4
65,"밤을 사랑하는 숲에서 살아가는, 마녀를 경애하는 로스가르 남성",4,69190,73865,576,164,3
66,알려지지 않은 영웅의 이름을 받은 갈레안 혼혈 소년,13,68725,73866,577,164,2
67,영웅의 여동생의 이름을 받은 갈레안 혼혈 소녀,14,68725,73867,578,164,2
68,"극단의 주재자를 맡고 있으며, 전승을 연구하는 갈레안 남성",15,68725,73868,579,164,2
69,"강렬한 고양이 영혼의 소유자로, 코치를 맡기도 했던 변혁의 주역",3,70976,73869,582,176,5
70,문무를 겸비한 하이브리드 투사로 불리는 차세대마녀,6,70976,73870,583,176,5
71,댄스장을 초록빛으로 물들이는 파티광,7,70976,73871,584,176,5
72,"사랑스럽게 맹독을 흩뿌리는, 모두의 아이돌",4,70976,73872,585,176,5
73,"무시무시한 참격을 휘두르는, 고고한 착한 투사",9,70976,73873,586,176,5
74,"끈질긴 반칙왕이자, 불사신인 악당 투사",5,70976,73874,587,176,5
75,링 위의 화가로 불리는 예술가 투사,8,70976,73875,588,176,5
76,"물을 두른, 말수가 많고 교활한 온도 차 형제의 형",11,70976,73876,589,176,5
77,"불을 두른, 과묵하고 둔한 온도차 형제의 동생",12,70976,73877,590,176,5
78,"붉은 피에 젖은, 무시무시한 마성의 처형인",10,70976,73878,591,176,5
79,"아르카디아 정점에 군림하는, 모든 것을 제압하는 자",13,70976,73879,592,176,5
80,"격투 경기를 뜨겁게 달구는, 화술이 뛰어난 진행자",14,70976,73880,593,176,5
81,민중파로서 혁신하겠다는 신념을 관철하는 갈레안 남성,10,68721,73881,594,176,2
82,하늘도적을 이끌며 호적수를 뒤쫓는 기가 센 여성,8,67740,73882,595,176,1
83,"찻집을 운영하는, 믿음직스러운 엘레젠 여성",6,0,73883,596,176,0
84,"주점의 마스터를 맡고 있는, 쾌활한 휴런 남성",7,0,73884,597,176,0
85,"모험가들의 휴식처를 운영하는, 서글서글한 라라펠 여성",8,0,73885,598,176,0
