key,0,1,2,3,4,5,6,7
65,"GROUP_POSE",255,255,False,1,32,1,"단체 자세"
66,"IDLING_CAMERA",255,255,False,1,31,1,"경관 카메라"
103,"TARGET_NEXT",255,255,False,2,1,2,"가장 가까운 적부터 지정: 순서대로"
104,"TARGET_PREV",255,255,False,2,2,2,"가장 가까운 적부터 지정: 역순으로"
105,"TARGET_P1",255,255,False,2,3,2,"1번째 파티원(자신) 지정"
106,"TARGET_P2",255,255,False,2,4,2,"2번째 파티원 지정"
107,"TARGET_P3",255,255,False,2,5,2,"3번째 파티원 지정"
108,"TARGET_P4",255,255,False,2,6,2,"4번째 파티원 지정"
109,"TARGET_P5",255,255,False,2,7,2,"5번째 파티원 지정"
110,"TARGET_P6",255,255,False,2,8,2,"6번째 파티원 지정"
111,"TARGET_P7",255,255,False,2,9,2,"7번째 파티원 지정"
112,"TARGET_P8",255,255,False,2,10,2,"8번째 파티원 지정"
113,"TARGET_PET",255,255,False,2,11,2,"내 소환수 지정"
114,"TARGET_TTOT",255,255,False,2,13,2,"대상이 지정한 대상 지정하기 (조준 따라가기)"
115,"TARGET_LASTTARGET",255,255,False,2,14,2,"마지막으로 지정한 대상 다시 지정"
116,"TARGET_LASTENEMY",255,255,False,2,15,2,"마지막으로 지정한 적 다시 지정"
117,"TARGET_LASTATTACKER",255,255,False,2,16,2,"나에게 적대 행동을 한 적 지정"
118,"TARGET_CLOSEST_ENEMY",255,255,False,2,17,2,"가장 가까운 적 지정"
119,"TARGET_CLOSEST_PC",255,255,False,2,18,2,"가장 가까운 플레이어 지정"
120,"TARGET_CLOSEST_NPC",255,255,False,2,19,2,"가장 가까운 NPC/사물 지정"
121,"TARGET_FOCUS",255,255,False,2,20,2,"주시 대상으로 지정"
122,"TARGET_SELECT",255,255,False,2,21,2,"주시 대상을 현재 대상으로 지정"
123,"FACE",255,255,False,2,22,2,"지정한 대상 바라보기 (정면으로 보기)"
124,"CIRCLE_ALL",255,255,False,2,23,2,"조준원: <CommandIcon(12)/>+<Gui(11)/>"
125,"CIRCLE_ENEMY",255,255,False,2,24,2,"조준원: <CommandIcon(12)/>+<Gui(8)/>"
126,"CIRCLE_PARTY",255,255,False,2,25,2,"조준원: <CommandIcon(12)/>+<Gui(9)/>"
127,"CIRCLE_PC",255,255,False,2,26,2,"조준원: <CommandIcon(12)/>+<Gui(10)/>"
136,"TARGET_ENEMY_LIST_UP_KEY",255,255,False,2,27,2,"적대 목록에서 선택: 위로"
137,"TARGET_ENEMY_LIST_DOWN_KEY",255,255,False,2,28,2,"적대 목록에서 선택: 아래로"
138,"TARGET_ALLIANCE_NEXT_KEY",255,255,False,2,29,2,"연합 파티 목록에서 선택: 순서대로"
139,"TARGET_ALLIANCE_PREV_KEY",255,255,False,2,30,2,"연합 파티 목록에서 선택: 역순으로"
140,"TARGET_ALLIANCE1_NEXT",255,255,False,2,31,2,"연합 파티 목록 1 선택: 순서대로"
141,"TARGET_ALLIANCE1_PREV",255,255,False,2,32,2,"연합 파티 목록 1 선택: 역순으로"
142,"TARGET_ALLIANCE2_NEXT",255,255,False,2,33,2,"연합 파티 목록 2 선택: 순서대로"
143,"TARGET_ALLIANCE2_PREV",255,255,False,2,34,2,"연합 파티 목록 2 선택: 역순으로"
144,"TARGET_ALLIANCE1_1",255,255,False,2,35,2,"연합 파티원 1-1 지정"
145,"TARGET_ALLIANCE1_2",255,255,False,2,36,2,"연합 파티원 1-2 지정"
146,"TARGET_ALLIANCE1_3",255,255,False,2,37,2,"연합 파티원 1-3 지정"
147,"TARGET_ALLIANCE1_4",255,255,False,2,38,2,"연합 파티원 1-4 지정"
148,"TARGET_ALLIANCE1_5",255,255,False,2,39,2,"연합 파티원 1-5 지정"
149,"TARGET_ALLIANCE1_6",255,255,False,2,40,2,"연합 파티원 1-6 지정"
150,"TARGET_ALLIANCE1_7",255,255,False,2,41,2,"연합 파티원 1-7 지정"
151,"TARGET_ALLIANCE1_8",255,255,False,2,42,2,"연합 파티원 1-8 지정"
152,"TARGET_ALLIANCE2_1",255,255,False,2,43,2,"연합 파티원 2-1 지정"
153,"TARGET_ALLIANCE2_2",255,255,False,2,44,2,"연합 파티원 2-2 지정"
154,"TARGET_ALLIANCE2_3",255,255,False,2,45,2,"연합 파티원 2-3 지정"
155,"TARGET_ALLIANCE2_4",255,255,False,2,46,2,"연합 파티원 2-4 지정"
156,"TARGET_ALLIANCE2_5",255,255,False,2,47,2,"연합 파티원 2-5 지정"
157,"TARGET_ALLIANCE2_6",255,255,False,2,48,2,"연합 파티원 2-6 지정"
158,"TARGET_ALLIANCE2_7",255,255,False,2,49,2,"연합 파티원 2-7 지정"
159,"TARGET_ALLIANCE2_8",255,255,False,2,50,2,"연합 파티원 2-8 지정"
160,"BUDDY_TARGET",255,255,False,2,12,2,"내 버디 지정"
171,"CMD_CHAT",255,255,False,4,1,5,"대화 입력 시작"
172,"CMD_COMMAND",255,255,False,4,2,5,"명령어 입력 시작"
173,"CMD_REPLY",255,255,False,4,3,5,"귓속말 일시 응답: 순서대로"
174,"CMD_REPLY_REV",255,255,False,4,4,5,"귓속말 일시 응답: 역순으로"
175,"CMD_SAY",255,255,False,4,5,5,"말하기 대화로 일시 전환"
176,"CMD_YELL",255,255,False,4,6,5,"떠들기 대화로 일시 전환"
177,"CMD_SHOUT",255,255,False,4,7,5,"외치기 대화로 일시 전환"
178,"CMD_PARTY",255,255,False,4,8,5,"파티 대화로 일시 전환"
179,"CMD_ALLIANCE",255,255,False,4,9,5,"연합 파티 대화로 일시 전환"
180,"CMD_FREECOM",255,255,False,4,10,5,"자유부대 대화로 일시 전환"
181,"CMD_LINKSHELL",255,255,False,4,13,5,"링크셸 대화로 일시 전환: 순서대로"
182,"CMD_LINKSHELL_REV",255,255,False,4,14,5,"링크셸 대화로 일시 전환: 역순으로"
183,"CMD_LINKSHELL_1",255,255,False,4,15,5,"링크셸 대화 [1]번으로 일시 전환"
184,"CMD_LINKSHELL_2",255,255,False,4,16,5,"링크셸 대화 [2]번으로 일시 전환"
185,"CMD_LINKSHELL_3",255,255,False,4,17,5,"링크셸 대화 [3]번으로 일시 전환"
186,"CMD_LINKSHELL_4",255,255,False,4,18,5,"링크셸 대화 [4]번으로 일시 전환"
187,"CMD_LINKSHELL_5",255,255,False,4,19,5,"링크셸 대화 [5]번으로 일시 전환"
188,"CMD_LINKSHELL_6",255,255,False,4,20,5,"링크셸 대화 [6]번으로 일시 전환"
189,"CMD_LINKSHELL_7",255,255,False,4,21,5,"링크셸 대화 [7]번으로 일시 전환"
190,"CMD_LINKSHELL_8",255,255,False,4,22,5,"링크셸 대화 [8]번으로 일시 전환"
191,"CMD_REPLY_ALWAYS",255,255,False,4,103,5,"귓속말 응답: 순서대로"
192,"CMD_REPLY_REV_ALWAYS",255,255,False,4,104,5,"귓속말 응답: 역순으로"
193,"CMD_SAY_ALWAYS",255,255,False,4,105,5,"말하기 대화로 전환"
194,"CMD_YELL_ALWAYS",255,255,False,4,106,5,"떠들기 대화로 전환"
196,"CMD_PARTY_ALWAYS",255,255,False,4,108,5,"파티 대화로 전환"
197,"CMD_ALLIANCE_ALWAYS",255,255,False,4,109,5,"연합 파티 대화로 전환"
198,"CMD_FREECOM_ALWAYS",255,255,False,4,110,5,"자유부대 대화로 전환"
199,"CMD_LINKSHELL_ALWAYS",255,255,False,4,113,5,"링크셸 대화로 전환: 순서대로"
200,"CMD_LINKSHELL_REV_ALWAYS",255,255,False,4,114,5,"링크셸 대화로 전환: 역순으로"
201,"CMD_LINKSHELL_1_ALWAYS",255,255,False,4,115,5,"링크셸 대화 [1]번으로 전환"
202,"CMD_LINKSHELL_2_ALWAYS",255,255,False,4,116,5,"링크셸 대화 [2]번으로 전환"
203,"CMD_LINKSHELL_3_ALWAYS",255,255,False,4,117,5,"링크셸 대화 [3]번으로 전환"
204,"CMD_LINKSHELL_4_ALWAYS",255,255,False,4,118,5,"링크셸 대화 [4]번으로 전환"
205,"CMD_LINKSHELL_5_ALWAYS",255,255,False,4,119,5,"링크셸 대화 [5]번으로 전환"
206,"CMD_LINKSHELL_6_ALWAYS",255,255,False,4,120,5,"링크셸 대화 [6]번으로 전환"
207,"CMD_LINKSHELL_7_ALWAYS",255,255,False,4,121,5,"링크셸 대화 [7]번으로 전환"
208,"CMD_LINKSHELL_8_ALWAYS",255,255,False,4,122,5,"링크셸 대화 [8]번으로 전환"
211,"OK",255,255,True,5,1,1,"결정"
212,"CANCEL",255,255,True,5,2,1,"취소"
213,"ESC",255,255,True,5,3,1,"나가기"
214,"PAD_MAINMENUFOCUS",255,255,True,5,4,1,"주 메뉴"
215,"MENU",255,255,False,5,5,1,"단축 메뉴"
216,"UP",255,255,False,5,6,1,"커서 / 파티 목록 위로 이동"
217,"DOWN",255,255,False,5,7,1,"커서 / 파티 목록 아래로 이동"
218,"LEFT",255,255,False,5,8,1,"커서 / 보조 조준원 왼쪽으로 이동"
219,"RIGHT",255,255,False,5,9,1,"커서 / 보조 조준원 오른쪽으로 이동"
220,"TAB_NEXT",255,255,False,5,10,1,"탭 전환: 순서대로"
221,"TAB_PREV",255,255,False,5,11,1,"탭 전환: 역순으로"
222,"HOTBAR_UP",255,253,False,5,12,1,"단축바 전환: 순서대로"
223,"HOTBAR_DOWN",255,253,False,5,13,1,"단축바 전환: 역순으로"
224,"KEY_SCREENSHOT",255,251,False,5,14,1,"스크린샷"
225,"HIDE",255,255,False,5,15,1,"UI 표시 전환"
226,"MENU_LAYOUT",255,255,False,5,16,1,"HUD 배열구성 설정"
227,"PAD_HUDFOCUS",255,255,False,5,21,1,"HUD 선택: 순서대로"
228,"PAD_HUDFOCUS_PREV",255,255,False,5,22,1,"HUD 선택: 역순으로"
229,"TARGET_CLICK_FILTER",255,255,False,5,23,1,"조준 필터"
230,"MENU_SCALE",255,255,False,5,24,1,"창 크기 확대/축소"
231,"HOTBAR_SET_1",255,253,False,5,33,1,"단축바 전환: 1번 세트"
232,"HOTBAR_SET_2",255,253,False,5,34,1,"단축바 전환: 2번 세트"
233,"HOTBAR_SET_3",255,253,False,5,35,1,"단축바 전환: 3번 세트"
234,"HOTBAR_SET_4",255,253,False,5,36,1,"단축바 전환: 4번 세트"
235,"HOTBAR_SET_5",255,253,False,5,37,1,"단축바 전환: 5번 세트"
236,"HOTBAR_SET_6",255,253,False,5,38,1,"단축바 전환: 6번 세트"
237,"HOTBAR_SET_7",255,253,False,5,39,1,"단축바 전환: 7번 세트"
238,"HOTBAR_SET_8",255,253,False,5,40,1,"단축바 전환: 8번 세트"
239,"HOTBAR_SET_9",255,253,False,5,41,1,"단축바 전환: 9번 세트"
240,"HOTBAR_SET_10",255,253,False,5,42,1,"단축바 전환: 10번 세트"
241,"MACRO_FORCED_OUTAGE",255,255,False,5,26,1,"실행 중인 매크로 정지"
242,"HOTBAR_SET_EX",255,253,False,5,43,1,"단축바 전환: 보조 단축바"
243,"MOUSE_CURSOR_SONAR",255,253,False,5,27,1,"커서 위치 알림"
244,"MASTER_VOLUME_MUTE",255,255,False,5,28,1,"주 음량 음소거"
245,"MENU_CONTENTS_GENERAL",255,255,False,5,30,1,"임무 범용 키"
246,"HUDLAYOUT_SET1",255,255,False,5,17,1,"HUD 배열 변경: 1번 배열"
247,"HUDLAYOUT_SET2",255,255,False,5,18,1,"HUD 배열 변경: 2번 배열"
248,"HUDLAYOUT_SET3",255,255,False,5,19,1,"HUD 배열 변경: 3번 배열"
249,"HUDLAYOUT_SET4",255,255,False,5,20,1,"HUD 배열 변경: 4번 배열"
251,"MENU_STATUS",255,255,False,3,1,0,"캐릭터"
252,"MENU_BAG",255,255,False,3,4,0,"소지품"
253,"MENU_ARMORY",255,255,False,3,5,0,"장비함"
254,"MENU_EVENT_BAG",255,255,False,3,6,0,"임무용 아이템 목록"
255,"MENU_MAP",255,255,False,3,8,0,"지도"
256,"MENU_ACTION",255,255,False,3,9,0,"기술 목록"
257,"MENU_EMOTE",255,255,False,3,10,0,"감정 표현"
258,"MENU_MOUNT_NOTEBOOK",255,255,False,3,11,0,"탈것 목록"
259,"MENU_MINION_NOTEBOOK",255,255,False,3,12,0,"꼬마 친구 목록"
260,"MENU_PVP_PROFILE",255,255,False,3,13,0,"PvP 프로필"
261,"MENU_SOCIAL",255,255,False,3,15,0,"교류"
262,"MENU_PARTY_MEMBER",255,255,False,3,16,0,"파티원"
263,"MENU_FRIEND_LIST",255,255,False,3,17,0,"친구 목록"
264,"MENU_BLACK_LIST",255,255,False,3,19,0,"차단 목록"
265,"MENU_PC_SEARCH",255,255,False,3,21,0,"플레이어 검색"
266,"MENU_LFG",255,255,False,3,22,0,"파티 찾기"
267,"MENU_READY_CHECK",255,255,False,3,23,0,"준비 확인"
268,"MENU_FREECOM",255,255,False,3,26,0,"자유부대"
269,"MENU_HOUSING",255,255,False,3,27,0,"하우징"
270,"MENU_LINKSHELL",255,255,False,3,29,0,"링크셸"
271,"MENU_CONTENT",255,255,False,3,31,0,"임무 찾기"
272,"MENU_CONTENT_INFO",255,255,False,3,33,0,"임무 정보"
273,"MENU_JOURNAL",255,255,False,3,34,0,"퀘스트"
274,"MENU_CRAFT",255,255,False,3,37,0,"제작수첩"
275,"MENU_GATHER",255,255,False,3,38,0,"채집수첩"
276,"MENU_MONSTER",255,255,False,3,39,0,"토벌수첩"
277,"MENU_FISH",255,255,False,3,40,0,"낚시수첩"
278,"MENU_FISH_GUIDE",255,255,False,3,41,0,"어류도감"
279,"MENU_CONTENTS_NOTEBOOK",255,255,False,3,43,0,"공략수첩"
280,"MENU_ADVENTURE_NOTEBOOK",255,255,False,3,42,0,"탐험수첩"
281,"MENU_MARK",255,255,False,3,45,0,"대상 지시 표식"
282,"MENU_FIELD_MARK",255,255,False,3,46,0,"지면 표식"
283,"MENU_BUDDY",255,255,False,3,48,0,"버디"
284,"MENU_RETURN",255,255,False,3,47,0,"데존"
285,"MENU_TELEPO",255,255,False,3,49,0,"텔레포"
286,"MENU_ACHIVE",255,255,False,3,50,0,"업적"
287,"MENU_SYSTEM",255,253,False,3,51,0,"시스템"
288,"MENU_HOWTO",255,255,False,3,54,0,"도움말 목록"
289,"MENU_RECOMMEND_LIST",255,255,False,3,55,0,"임무 추천"
290,"MENU_MACRO",255,255,False,3,56,0,"매크로"
292,"MENU_CONFIG",255,255,False,3,59,0,"캐릭터 설정"
293,"MENU_SYSCONFIG",255,255,False,3,60,0,"시스템 설정"
294,"MENU_LOGCOLOR",255,255,False,3,61,0,"대화창 글자 색상"
295,"MENU_PADCUSTOMIZE",255,255,False,3,62,0,"버튼 설정"
296,"MENU_GOLD_SAUCER",255,255,False,3,14,0,"골드 소서"
297,"MENU_AETHER_CURRENT",255,255,False,3,52,0,"풍맥의 샘 교감 정보"
298,"MENU_CURRENCY",255,255,False,3,3,0,"화폐 목록"
299,"MENU_GEAR_SET",255,255,False,3,2,0,"장비세트"
301,"HOTBAR_1_1",255,253,False,6,1,4,"1번 단축바: 1번 칸"
302,"HOTBAR_1_2",255,253,False,6,2,4,"1번 단축바: 2번 칸"
303,"HOTBAR_1_3",255,253,False,6,3,4,"1번 단축바: 3번 칸"
304,"HOTBAR_1_4",255,253,False,6,4,4,"1번 단축바: 4번 칸"
305,"HOTBAR_1_5",255,253,False,6,5,4,"1번 단축바: 5번 칸"
306,"HOTBAR_1_6",255,253,False,6,6,4,"1번 단축바: 6번 칸"
307,"HOTBAR_1_7",255,253,False,6,7,4,"1번 단축바: 7번 칸"
308,"HOTBAR_1_8",255,253,False,6,8,4,"1번 단축바: 8번 칸"
309,"HOTBAR_1_9",255,253,False,6,9,4,"1번 단축바: 9번 칸"
310,"HOTBAR_1_0",255,253,False,6,10,4,"1번 단축바: 10번 칸"
311,"HOTBAR_1_A",255,253,False,6,11,4,"1번 단축바: 11번 칸"
312,"HOTBAR_1_B",255,253,False,6,12,4,"1번 단축바: 12번 칸"
313,"HOTBAR_2_1",255,253,False,6,13,4,"2번 단축바: 1번 칸"
314,"HOTBAR_2_2",255,253,False,6,14,4,"2번 단축바: 2번 칸"
315,"HOTBAR_2_3",255,253,False,6,15,4,"2번 단축바: 3번 칸"
316,"HOTBAR_2_4",255,253,False,6,16,4,"2번 단축바: 4번 칸"
317,"HOTBAR_2_5",255,253,False,6,17,4,"2번 단축바: 5번 칸"
318,"HOTBAR_2_6",255,253,False,6,18,4,"2번 단축바: 6번 칸"
319,"HOTBAR_2_7",255,253,False,6,19,4,"2번 단축바: 7번 칸"
320,"HOTBAR_2_8",255,253,False,6,20,4,"2번 단축바: 8번 칸"
321,"HOTBAR_2_9",255,253,False,6,21,4,"2번 단축바: 9번 칸"
322,"HOTBAR_2_0",255,253,False,6,22,4,"2번 단축바: 10번 칸"
323,"HOTBAR_2_A",255,253,False,6,23,4,"2번 단축바: 11번 칸"
324,"HOTBAR_2_B",255,253,False,6,24,4,"2번 단축바: 12번 칸"
325,"HOTBAR_3_1",255,253,False,6,25,4,"3번 단축바: 1번 칸"
326,"HOTBAR_3_2",255,253,False,6,26,4,"3번 단축바: 2번 칸"
327,"HOTBAR_3_3",255,253,False,6,27,4,"3번 단축바: 3번 칸"
328,"HOTBAR_3_4",255,253,False,6,28,4,"3번 단축바: 4번 칸"
329,"HOTBAR_3_5",255,253,False,6,29,4,"3번 단축바: 5번 칸"
330,"HOTBAR_3_6",255,253,False,6,30,4,"3번 단축바: 6번 칸"
331,"HOTBAR_3_7",255,253,False,6,31,4,"3번 단축바: 7번 칸"
332,"HOTBAR_3_8",255,253,False,6,32,4,"3번 단축바: 8번 칸"
333,"HOTBAR_3_9",255,253,False,6,33,4,"3번 단축바: 9번 칸"
334,"HOTBAR_3_0",255,253,False,6,34,4,"3번 단축바: 10번 칸"
335,"HOTBAR_3_A",255,253,False,6,35,4,"3번 단축바: 11번 칸"
336,"HOTBAR_3_B",255,253,False,6,36,4,"3번 단축바: 12번 칸"
337,"HOTBAR_4_1",255,253,False,6,37,4,"4번 단축바: 1번 칸"
338,"HOTBAR_4_2",255,253,False,6,38,4,"4번 단축바: 2번 칸"
339,"HOTBAR_4_3",255,253,False,6,39,4,"4번 단축바: 3번 칸"
340,"HOTBAR_4_4",255,253,False,6,40,4,"4번 단축바: 4번 칸"
341,"HOTBAR_4_5",255,253,False,6,41,4,"4번 단축바: 5번 칸"
342,"HOTBAR_4_6",255,253,False,6,42,4,"4번 단축바: 6번 칸"
343,"HOTBAR_4_7",255,253,False,6,43,4,"4번 단축바: 7번 칸"
344,"HOTBAR_4_8",255,253,False,6,44,4,"4번 단축바: 8번 칸"
345,"HOTBAR_4_9",255,253,False,6,45,4,"4번 단축바: 9번 칸"
346,"HOTBAR_4_0",255,253,False,6,46,4,"4번 단축바: 10번 칸"
347,"HOTBAR_4_A",255,253,False,6,47,4,"4번 단축바: 11번 칸"
348,"HOTBAR_4_B",255,253,False,6,48,4,"4번 단축바: 12번 칸"
349,"HOTBAR_5_1",255,253,False,6,49,4,"5번 단축바: 1번 칸"
350,"HOTBAR_5_2",255,253,False,6,50,4,"5번 단축바: 2번 칸"
351,"HOTBAR_5_3",255,253,False,6,51,4,"5번 단축바: 3번 칸"
352,"HOTBAR_5_4",255,253,False,6,52,4,"5번 단축바: 4번 칸"
353,"HOTBAR_5_5",255,253,False,6,53,4,"5번 단축바: 5번 칸"
354,"HOTBAR_5_6",255,253,False,6,54,4,"5번 단축바: 6번 칸"
355,"HOTBAR_5_7",255,253,False,6,55,4,"5번 단축바: 7번 칸"
356,"HOTBAR_5_8",255,253,False,6,56,4,"5번 단축바: 8번 칸"
357,"HOTBAR_5_9",255,253,False,6,57,4,"5번 단축바: 9번 칸"
358,"HOTBAR_5_0",255,253,False,6,58,4,"5번 단축바: 10번 칸"
359,"HOTBAR_5_A",255,253,False,6,59,4,"5번 단축바: 11번 칸"
360,"HOTBAR_5_B",255,253,False,6,60,4,"5번 단축바: 12번 칸"
361,"HOTBAR_6_1",255,253,False,6,61,4,"6번 단축바: 1번 칸"
362,"HOTBAR_6_2",255,253,False,6,62,4,"6번 단축바: 2번 칸"
363,"HOTBAR_6_3",255,253,False,6,63,4,"6번 단축바: 3번 칸"
364,"HOTBAR_6_4",255,253,False,6,64,4,"6번 단축바: 4번 칸"
365,"HOTBAR_6_5",255,253,False,6,65,4,"6번 단축바: 5번 칸"
366,"HOTBAR_6_6",255,253,False,6,66,4,"6번 단축바: 6번 칸"
367,"HOTBAR_6_7",255,253,False,6,67,4,"6번 단축바: 7번 칸"
368,"HOTBAR_6_8",255,253,False,6,68,4,"6번 단축바: 8번 칸"
369,"HOTBAR_6_9",255,253,False,6,69,4,"6번 단축바: 9번 칸"
370,"HOTBAR_6_0",255,253,False,6,70,4,"6번 단축바: 10번 칸"
371,"HOTBAR_6_A",255,253,False,6,71,4,"6번 단축바: 11번 칸"
372,"HOTBAR_6_B",255,253,False,6,72,4,"6번 단축바: 12번 칸"
373,"HOTBAR_7_1",255,253,False,6,73,4,"7번 단축바: 1번 칸"
374,"HOTBAR_7_2",255,253,False,6,74,4,"7번 단축바: 2번 칸"
375,"HOTBAR_7_3",255,253,False,6,75,4,"7번 단축바: 3번 칸"
376,"HOTBAR_7_4",255,253,False,6,76,4,"7번 단축바: 4번 칸"
377,"HOTBAR_7_5",255,253,False,6,77,4,"7번 단축바: 5번 칸"
378,"HOTBAR_7_6",255,253,False,6,78,4,"7번 단축바: 6번 칸"
379,"HOTBAR_7_7",255,253,False,6,79,4,"7번 단축바: 7번 칸"
380,"HOTBAR_7_8",255,253,False,6,80,4,"7번 단축바: 8번 칸"
381,"HOTBAR_7_9",255,253,False,6,81,4,"7번 단축바: 9번 칸"
382,"HOTBAR_7_0",255,253,False,6,82,4,"7번 단축바: 10번 칸"
383,"HOTBAR_7_A",255,253,False,6,83,4,"7번 단축바: 11번 칸"
384,"HOTBAR_7_B",255,253,False,6,84,4,"7번 단축바: 12번 칸"
385,"HOTBAR_8_1",255,253,False,6,85,4,"8번 단축바: 1번 칸"
386,"HOTBAR_8_2",255,253,False,6,86,4,"8번 단축바: 2번 칸"
387,"HOTBAR_8_3",255,253,False,6,87,4,"8번 단축바: 3번 칸"
388,"HOTBAR_8_4",255,253,False,6,88,4,"8번 단축바: 4번 칸"
389,"HOTBAR_8_5",255,253,False,6,89,4,"8번 단축바: 5번 칸"
390,"HOTBAR_8_6",255,253,False,6,90,4,"8번 단축바: 6번 칸"
391,"HOTBAR_8_7",255,253,False,6,91,4,"8번 단축바: 7번 칸"
392,"HOTBAR_8_8",255,253,False,6,92,4,"8번 단축바: 8번 칸"
393,"HOTBAR_8_9",255,253,False,6,93,4,"8번 단축바: 9번 칸"
394,"HOTBAR_8_0",255,253,False,6,94,4,"8번 단축바: 10번 칸"
395,"HOTBAR_8_A",255,253,False,6,95,4,"8번 단축바: 11번 칸"
396,"HOTBAR_8_B",255,253,False,6,96,4,"8번 단축바: 12번 칸"
397,"HOTBAR_9_1",255,253,False,6,97,4,"9번 단축바: 1번 칸"
398,"HOTBAR_9_2",255,253,False,6,98,4,"9번 단축바: 2번 칸"
399,"HOTBAR_9_3",255,253,False,6,99,4,"9번 단축바: 3번 칸"
400,"HOTBAR_9_4",255,253,False,6,100,4,"9번 단축바: 4번 칸"
401,"HOTBAR_9_5",255,253,False,6,101,4,"9번 단축바: 5번 칸"
402,"HOTBAR_9_6",255,253,False,6,102,4,"9번 단축바: 6번 칸"
403,"HOTBAR_9_7",255,253,False,6,103,4,"9번 단축바: 7번 칸"
404,"HOTBAR_9_8",255,253,False,6,104,4,"9번 단축바: 8번 칸"
405,"HOTBAR_9_9",255,253,False,6,105,4,"9번 단축바: 9번 칸"
406,"HOTBAR_9_0",255,253,False,6,106,4,"9번 단축바: 10번 칸"
407,"HOTBAR_9_A",255,253,False,6,107,4,"9번 단축바: 11번 칸"
408,"HOTBAR_9_B",255,253,False,6,108,4,"9번 단축바: 12번 칸"
409,"HOTBAR_10_1",255,253,False,6,109,4,"10번 단축바: 1번 칸"
410,"HOTBAR_10_2",255,253,False,6,110,4,"10번 단축바: 2번 칸"
411,"HOTBAR_10_3",255,253,False,6,111,4,"10번 단축바: 3번 칸"
412,"HOTBAR_10_4",255,253,False,6,112,4,"10번 단축바: 4번 칸"
413,"HOTBAR_10_5",255,253,False,6,113,4,"10번 단축바: 5번 칸"
414,"HOTBAR_10_6",255,253,False,6,114,4,"10번 단축바: 6번 칸"
415,"HOTBAR_10_7",255,253,False,6,115,4,"10번 단축바: 7번 칸"
416,"HOTBAR_10_8",255,253,False,6,116,4,"10번 단축바: 8번 칸"
417,"HOTBAR_10_9",255,253,False,6,117,4,"10번 단축바: 9번 칸"
418,"HOTBAR_10_0",255,253,False,6,118,4,"10번 단축바: 10번 칸"
419,"HOTBAR_10_A",255,253,False,6,119,4,"10번 단축바: 11번 칸"
420,"HOTBAR_10_B",255,253,False,6,120,4,"10번 단축바: 12번 칸"
421,"HOTBAR_EX_1",255,253,False,6,121,4,"보조 단축바: 1번 칸"
422,"HOTBAR_EX_2",255,253,False,6,122,4,"보조 단축바: 2번 칸"
